min. temp.
0.0000000000 300.0000000000
0.1000000000 300.0000000000
0.2000000000 300.0000023574
0.3000000000 300.0001257599
0.4000000000 300.0007254164
0.5000000000 300.0017675200
0.6000000000 300.0028597262
0.7000000000 300.0037309343
0.8000000000 300.0043229860
0.9000000000 300.0046868886
1.0000000000 300.0048962207
1.1000000000 300.0050112798
1.2000000000 300.0050725130
1.3000000000 300.0051043437
1.4000000000 300.0051206036
1.5000000000 300.0051288004
1.6000000000 300.0051328908
1.7000000000 300.0051349160
1.8000000000 300.0051359124
1.9000000000 300.0051364003
2.0000000000 300.0051366383
2.1000000000 300.0051367539
2.2000000000 300.0051368100
2.3000000000 300.0051368372
2.4000000000 300.0051368503
2.5000000000 300.0051368566
2.6000000000 300.0051368597
2.7000000000 300.0051368612
2.8000000000 300.0051368619
2.9000000000 300.0051368622
3.0000000000 300.0051368624
3.1000000000 300.0051368625
3.2000000000 300.0051368625
3.3000000000 300.0051368625
3.4000000000 300.0051368625
3.5000000000 300.0051368625
3.6000000000 300.0051368625
3.7000000000 300.0051368625
3.8000000000 300.0051368625
3.9000000000 300.0051368625
4.0000000000 300.0051368625
4.1000000000 300.0051368625
4.2000000000 300.0051368625
4.3000000000 300.0051368625
4.4000000000 300.0051368625
4.5000000000 300.0051368625
4.6000000000 300.0051368625
4.7000000000 300.0051368625
4.8000000000 300.0051368625
4.9000000000 300.0051368625
5.0000000000 300.0051368625
5.1000000000 300.0051368625
5.2000000000 300.0051368625
5.3000000000 300.0051368625
5.4000000000 300.0051368625
5.5000000000 300.0051368625
5.6000000000 300.0051368625
5.7000000000 300.0051368625
5.8000000000 300.0051368625
5.9000000000 300.0051368625
6.0000000000 300.0051368625
6.1000000000 300.0051368625
6.2000000000 300.0051368625
6.3000000000 300.0051368625
6.4000000000 300.0051368625
6.5000000000 300.0051368625
6.6000000000 300.0051368625
6.7000000000 300.0051368625
6.8000000000 300.0051368625
6.9000000000 300.0051368625
7.0000000000 300.0051368625
7.1000000000 300.0051368625
7.2000000000 300.0051368625
7.3000000000 300.0051368625
7.4000000000 300.0051368625
7.5000000000 300.0051368625
7.6000000000 300.0051368625
7.7000000000 300.0051368625
7.8000000000 300.0051368625
7.9000000000 300.0051368625
8.0000000000 300.0051368625
8.1000000000 300.0051368625
8.2000000000 300.0051368625
8.3000000000 300.0051368625
8.4000000000 300.0051368625
8.5000000000 300.0051368625
8.6000000000 300.0051368625
8.7000000000 300.0051368625
8.8000000000 300.0051368625
8.9000000000 300.0051368625
9.0000000000 300.0051368625
9.1000000000 300.0051368625
9.2000000000 300.0051368625
9.3000000000 300.0051368625
9.4000000000 300.0051368625
9.5000000000 300.0051368625
9.6000000000 300.0051368625
9.7000000000 300.0051368625
9.8000000000 300.0051368625
9.9000000000 300.0051368625
10.0000000000 300.0051368625

