max. temp.
0.0000000000 304.3465164249
0.1000000000 393.6706598556
0.2000000000 412.1362481387
0.3000000000 419.0391298565
0.4000000000 421.8871778585
0.5000000000 423.1169767984
0.6000000000 423.6622593219
0.7000000000 423.9082709418
0.8000000000 424.0206354072
0.9000000000 424.0724294919
1.0000000000 424.0964734798
1.1000000000 424.1076981782
1.2000000000 424.1129622169
1.3000000000 424.1154401173
1.4000000000 424.1166101247
1.5000000000 424.1171639941
1.6000000000 424.1174267513
1.7000000000 424.1175516268
1.8000000000 424.1176110624
1.9000000000 424.1176393865
2.0000000000 424.1176528985
2.1000000000 424.1176593498
2.2000000000 424.1176624323
2.3000000000 424.1176639060
2.4000000000 424.1176646109
2.5000000000 424.1176649483
2.6000000000 424.1176651097
2.7000000000 424.1176651870
2.8000000000 424.1176652241
2.9000000000 424.1176652418
3.0000000000 424.1176652503
3.1000000000 424.1176652544
3.2000000000 424.1176652563
3.3000000000 424.1176652573
3.4000000000 424.1176652577
3.5000000000 424.1176652579
3.6000000000 424.1176652580
3.7000000000 424.1176652581
3.8000000000 424.1176652581
3.9000000000 424.1176652581
4.0000000000 424.1176652581
4.1000000000 424.1176652581
4.2000000000 424.1176652581
4.3000000000 424.1176652581
4.4000000000 424.1176652581
4.5000000000 424.1176652581
4.6000000000 424.1176652581
4.7000000000 424.1176652581
4.8000000000 424.1176652581
4.9000000000 424.1176652581
5.0000000000 424.1176652581
5.1000000000 424.1176652581
5.2000000000 424.1176652581
5.3000000000 424.1176652581
5.4000000000 424.1176652581
5.5000000000 424.1176652581
5.6000000000 424.1176652581
5.7000000000 424.1176652581
5.8000000000 424.1176652581
5.9000000000 424.1176652581
6.0000000000 424.1176652581
6.1000000000 424.1176652581
6.2000000000 424.1176652581
6.3000000000 424.1176652581
6.4000000000 424.1176652581
6.5000000000 424.1176652581
6.6000000000 424.1176652581
6.7000000000 424.1176652581
6.8000000000 424.1176652581
6.9000000000 424.1176652581
7.0000000000 424.1176652581
7.1000000000 424.1176652581
7.2000000000 424.1176652581
7.3000000000 424.1176652581
7.4000000000 424.1176652581
7.5000000000 424.1176652581
7.6000000000 424.1176652581
7.7000000000 424.1176652581
7.8000000000 424.1176652581
7.9000000000 424.1176652581
8.0000000000 424.1176652581
8.1000000000 424.1176652581
8.2000000000 424.1176652581
8.3000000000 424.1176652581
8.4000000000 424.1176652581
8.5000000000 424.1176652581
8.6000000000 424.1176652581
8.7000000000 424.1176652581
8.8000000000 424.1176652581
8.9000000000 424.1176652581
9.0000000000 424.1176652581
9.1000000000 424.1176652581
9.2000000000 424.1176652581
9.3000000000 424.1176652581
9.4000000000 424.1176652581
9.5000000000 424.1176652581
9.6000000000 424.1176652581
9.7000000000 424.1176652581
9.8000000000 424.1176652581
9.9000000000 424.1176652581
10.0000000000 424.1176652581

