avg. temp.
0.0000000000 300.0543314553
0.1000000000 307.7894963935
0.2000000000 311.6140950191
0.3000000000 313.4919260708
0.4000000000 314.4137271025
0.5000000000 314.8658407288
0.6000000000 315.0872130951
0.7000000000 315.1953596747
0.8000000000 315.2480616413
0.9000000000 315.2736826307
1.0000000000 315.2861110016
1.1000000000 315.2921282838
1.2000000000 315.2950368242
1.3000000000 315.2964407693
1.4000000000 315.2971176687
1.5000000000 315.2974437168
1.6000000000 315.2976006426
1.7000000000 315.2976761208
1.8000000000 315.2977124046
1.9000000000 315.2977298391
2.0000000000 315.2977382134
2.1000000000 315.2977422345
2.2000000000 315.2977441650
2.3000000000 315.2977450915
2.4000000000 315.2977455361
2.5000000000 315.2977457494
2.6000000000 315.2977458517
2.7000000000 315.2977459008
2.8000000000 315.2977459244
2.9000000000 315.2977459357
3.0000000000 315.2977459411
3.1000000000 315.2977459437
3.2000000000 315.2977459449
3.3000000000 315.2977459455
3.4000000000 315.2977459458
3.5000000000 315.2977459460
3.6000000000 315.2977459460
3.7000000000 315.2977459461
3.8000000000 315.2977459461
3.9000000000 315.2977459461
4.0000000000 315.2977459461
4.1000000000 315.2977459461
4.2000000000 315.2977459461
4.3000000000 315.2977459461
4.4000000000 315.2977459461
4.5000000000 315.2977459461
4.6000000000 315.2977459461
4.7000000000 315.2977459461
4.8000000000 315.2977459461
4.9000000000 315.2977459461
5.0000000000 315.2977459461
5.1000000000 315.2977459461
5.2000000000 315.2977459461
5.3000000000 315.2977459461
5.4000000000 315.2977459461
5.5000000000 315.2977459461
5.6000000000 315.2977459461
5.7000000000 315.2977459461
5.8000000000 315.2977459461
5.9000000000 315.2977459461
6.0000000000 315.2977459461
6.1000000000 315.2977459461
6.2000000000 315.2977459461
6.3000000000 315.2977459461
6.4000000000 315.2977459461
6.5000000000 315.2977459461
6.6000000000 315.2977459461
6.7000000000 315.2977459461
6.8000000000 315.2977459461
6.9000000000 315.2977459461
7.0000000000 315.2977459461
7.1000000000 315.2977459461
7.2000000000 315.2977459461
7.3000000000 315.2977459461
7.4000000000 315.2977459461
7.5000000000 315.2977459461
7.6000000000 315.2977459461
7.7000000000 315.2977459461
7.8000000000 315.2977459461
7.9000000000 315.2977459461
8.0000000000 315.2977459461
8.1000000000 315.2977459461
8.2000000000 315.2977459461
8.3000000000 315.2977459461
8.4000000000 315.2977459461
8.5000000000 315.2977459461
8.6000000000 315.2977459461
8.7000000000 315.2977459461
8.8000000000 315.2977459461
8.9000000000 315.2977459461
9.0000000000 315.2977459461
9.1000000000 315.2977459461
9.2000000000 315.2977459461
9.3000000000 315.2977459461
9.4000000000 315.2977459461
9.5000000000 315.2977459461
9.6000000000 315.2977459461
9.7000000000 315.2977459461
9.8000000000 315.2977459461
9.9000000000 315.2977459461
10.0000000000 315.2977459461

