mid particle
0.0000000000 300.0000000000
0.1100000000 300.0023898659
0.2000000000 300.0743008137
0.3000000000 300.3038770081
0.4000000000 300.6539304453
0.5000000000 301.0750176478
0.6000000000 301.5321299548
0.7000000000 302.0029857488
0.8000000000 302.4737143877
0.9000000000 302.9357179293
1.0000000000 303.3837011135
1.1000000000 303.8144708020
1.2000000000 304.2262004105
1.3000000000 304.6179700403
1.4000000000 304.9894710962
1.5000000000 305.3408109601
1.6000000000 305.6723802092
1.7000000000 305.9847601748
1.8000000000 306.2786573666
1.9000000000 306.5548563419
2.0000000000 306.8141855710
2.1000000000 307.0574926624
2.2000000000 307.2856264357
2.3000000000 307.4994240660
2.4000000000 307.6997020111
2.5000000000 307.8872497720
2.6000000000 308.0628257780
2.7000000000 308.2271548613
2.8000000000 308.3809269171
2.9000000000 308.5247964409
3.0000000000 308.6593827072
3.1000000000 308.7852704114
3.2000000000 308.9030106385
3.3000000000 309.0131220547
3.4000000000 309.1160922431
3.5000000000 309.2123791264
3.6000000000 309.3024124299
3.7000000000 309.3865951542
3.8000000000 309.4653050330
3.9000000000 309.5388959590
4.0000000000 309.6076993656
4.1000000000 309.6720255576
4.2000000000 309.7321649836
4.3000000000 309.7883894495
4.4000000000 309.8409532705
4.5000000000 309.8900943620
4.6000000000 309.9360352704
4.7000000000 309.9789841449
4.8000000000 310.0191356524
4.9000000000 310.0566718388
5.0000000000 310.0917629369
5.1000000000 310.1245681255
5.2000000000 310.1552362416
5.3000000000 310.1839064471
5.4000000000 310.2107088545
5.5000000000 310.2357651127
5.6000000000 310.2591889551
5.7000000000 310.2810867131
5.8000000000 310.3015577964
5.9000000000 310.3206951429
6.0000000000 310.3385856389
6.1000000000 310.3553105125
6.2000000000 310.3709457020
6.3000000000 310.3855621995
6.4000000000 310.3992263731
6.5000000000 310.4120002679
6.6000000000 310.4239418871
6.7000000000 310.4351054556
6.8000000000 310.4455416655
6.9000000000 310.4552979067
7.0000000000 310.4644184816
7.1000000000 310.4729448064
7.2000000000 310.4809155988
7.3000000000 310.4883670541
7.4000000000 310.4953330096
7.5000000000 310.5018450978
7.6000000000 310.5079328901
7.7000000000 310.5136240316
7.8000000000 310.5189443660
7.9000000000 310.5239180532
8.0000000000 310.5285676789
8.1000000000 310.5329143575
8.2000000000 310.5369778274
8.3000000000 310.5407765411
8.4000000000 310.5443277488
8.5000000000 310.5476475769
8.6000000000 310.5507511008
8.7000000000 310.5536524140
8.8000000000 310.5563646915
8.9000000000 310.5589002500
9.0000000000 310.5612706036
9.1000000000 310.5634865163
9.2000000000 310.5655580507
9.3000000000 310.5674946138
9.4000000000 310.5693049997
9.5000000000 310.5709974295
9.6000000000 310.5725795886
9.7000000000 310.5740586618
9.8000000000 310.5754413656
9.9000000000 310.5767339791
10.0000000000 310.5779423720

