min. temp.
0.0000000000 300.0000000000
0.1100000000 300.0000000000
0.2000000000 300.0000000209
0.3000000000 300.0000747456
0.4000000000 300.0011867531
0.5000000000 300.0054847673
0.6000000000 300.0147272881
0.7000000000 300.0294634576
0.8000000000 300.0492736783
0.9000000000 300.0732432689
1.0000000000 300.1003146117
1.1000000000 300.1294820089
1.2000000000 300.1598770872
1.3000000000 300.1907923544
1.4000000000 300.2216743449
1.5000000000 300.2521041946
1.6000000000 300.2817748485
1.7000000000 300.3104692206
1.8000000000 300.3380410462
1.9000000000 300.3643988785
2.0000000000 300.3894930949
2.1000000000 300.4133055418
2.2000000000 300.4358413895
2.3000000000 300.4571227861
2.4000000000 300.4771839530
2.5000000000 300.4960674199
2.6000000000 300.5138211536
2.7000000000 300.5304963864
2.8000000000 300.5461459855
2.9000000000 300.5608232428
3.0000000000 300.5745809872
3.1000000000 300.5874709463
3.2000000000 300.5995432977
3.3000000000 300.6108463649
3.4000000000 300.6214264237
3.5000000000 300.6313275907
3.6000000000 300.6405917733
3.7000000000 300.6492586660
3.8000000000 300.6573657794
3.9000000000 300.6649484926
4.0000000000 300.6720401231
4.1000000000 300.6786720066
4.2000000000 300.6848735841
4.3000000000 300.6906724928
4.4000000000 300.6960946579
4.5000000000 300.7011643848
4.6000000000 300.7059044488
4.7000000000 300.7103361831
4.8000000000 300.7144795636
4.9000000000 300.7183532896
5.0000000000 300.7219748620
5.1000000000 300.7253606566
5.2000000000 300.7285259939
5.3000000000 300.7314852057
5.4000000000 300.7342516970
5.5000000000 300.7368380051
5.6000000000 300.7392558547
5.7000000000 300.7415162099
5.8000000000 300.7436293233
5.9000000000 300.7456047811
6.0000000000 300.7474515469
6.1000000000 300.7491780013
6.2000000000 300.7507919799
6.3000000000 300.7523008084
6.4000000000 300.7537113360
6.5000000000 300.7550299658
6.6000000000 300.7562626842
6.7000000000 300.7574150879
6.8000000000 300.7584924091
6.9000000000 300.7594995392
7.0000000000 300.7604410510
7.1000000000 300.7613212196
7.2000000000 300.7621440416
7.3000000000 300.7629132532
7.4000000000 300.7636323472
7.5000000000 300.7643045889
7.6000000000 300.7649330309
7.7000000000 300.7655205268
7.8000000000 300.7660697445
7.9000000000 300.7665831780
8.0000000000 300.7670631588
8.1000000000 300.7675118663
8.2000000000 300.7679313384
8.3000000000 300.7683234796
8.4000000000 300.7686900709
8.5000000000 300.7690327769
8.6000000000 300.7693531538
8.7000000000 300.7696526564
8.8000000000 300.7699326450
8.9000000000 300.7701943908
9.0000000000 300.7704390826
9.1000000000 300.7706678314
9.2000000000 300.7708816760
9.3000000000 300.7710815875
9.4000000000 300.7712684738
9.5000000000 300.7714431834
9.6000000000 300.7716065098
9.7000000000 300.7717591946
9.8000000000 300.7719019312
9.9000000000 300.7720353678
10.0000000000 300.7721601103

