max. temp.
0.0000000000 301.3582863828
0.1100000000 306.4990456464
0.2000000000 309.1058041140
0.3000000000 311.2950249079
0.4000000000 313.0658867379
0.5000000000 314.5607391770
0.6000000000 315.8548003907
0.7000000000 316.9938960780
0.8000000000 318.0085722476
0.9000000000 318.9204969648
1.0000000000 319.7457557375
1.1000000000 320.4967082233
1.2000000000 321.1831090028
1.3000000000 321.8128227646
1.4000000000 322.3923022961
1.5000000000 322.9269205886
1.6000000000 323.4212091137
1.7000000000 323.8790332897
1.8000000000 324.3037244028
1.9000000000 324.6981804290
2.0000000000 325.0649440987
2.1000000000 325.4062639887
2.2000000000 325.7241427635
2.3000000000 326.0203755755
2.4000000000 326.2965808636
2.5000000000 326.5542252347
2.6000000000 326.7946437159
2.7000000000 327.0190563630
2.8000000000 327.2285819895
2.9000000000 327.4242496085
3.0000000000 327.6070080470
3.1000000000 327.7777340961
3.2000000000 327.9372394779
3.3000000000 328.0862768526
3.4000000000 328.2255450400
3.5000000000 328.3556935964
3.6000000000 328.4773268540
3.7000000000 328.5910075138
3.8000000000 328.6972598594
3.9000000000 328.7965726508
4.0000000000 328.8894017425
4.1000000000 328.9761724628
4.2000000000 329.0572817868
4.3000000000 329.1331003261
4.4000000000 329.2039741574
4.5000000000 329.2702265074
4.6000000000 329.3321593086
4.7000000000 329.3900546389
4.8000000000 329.4441760555
4.9000000000 329.4947698337
5.0000000000 329.5420661167
5.1000000000 329.5862799863
5.2000000000 329.6276124587
5.3000000000 329.6662514127
5.4000000000 329.7023724545
5.5000000000 329.7361397243
5.6000000000 329.7677066487
5.7000000000 329.7972166433
5.8000000000 329.8248037675
5.9000000000 329.8505933377
6.0000000000 329.8747024981
6.1000000000 329.8972407548
6.2000000000 329.9183104752
6.3000000000 329.9380073533
6.4000000000 329.9564208460
6.5000000000 329.9736345792
6.6000000000 329.9897267290
6.7000000000 330.0047703766
6.8000000000 330.0188338405
6.9000000000 330.0319809874
7.0000000000 330.0442715221
7.1000000000 330.0557612589
7.2000000000 330.0665023751
7.3000000000 330.0765436481
7.4000000000 330.0859306772
7.5000000000 330.0947060903
7.6000000000 330.1029097378
7.7000000000 330.1105788736
7.8000000000 330.1177483242
7.9000000000 330.1244506468
8.0000000000 330.1307162775
8.1000000000 330.1365736692
8.2000000000 330.1420494208
8.3000000000 330.1471683983
8.4000000000 330.1519538474
8.5000000000 330.1564274993
8.6000000000 330.1606096693
8.7000000000 330.1645193489
8.8000000000 330.1681742924
8.9000000000 330.1715910971
9.0000000000 330.1747852791
9.1000000000 330.1777713434
9.2000000000 330.1805628499
9.3000000000 330.1831724752
9.4000000000 330.1856120697
9.5000000000 330.1878927118
9.6000000000 330.1900247582
9.7000000000 330.1920178906
9.8000000000 330.1938811600
9.9000000000 330.1956230276
10.0000000000 330.1972514034

