mid particle
0.0000000000 0.0000000000
0.1100000000 0.1045237730
0.2000000000 1.0574260969
0.3000000000 2.1558636480
0.4000000000 2.8648987029
0.5000000000 3.2535398005
0.6000000000 3.4321708678
0.7000000000 3.4793264181
0.8000000000 3.4448713031
0.9000000000 3.3599167618
1.0000000000 3.2440732742
1.1000000000 3.1099482818
1.2000000000 2.9658229831
1.3000000000 2.8172398419
1.4000000000 2.6679572184
1.5000000000 2.5205373026
1.6000000000 2.3767191276
1.7000000000 2.2376629576
1.8000000000 2.1041155282
1.9000000000 1.9765250056
2.0000000000 1.8551229047
2.1000000000 1.7399835807
2.2000000000 1.6310680408
2.3000000000 1.5282565186
2.4000000000 1.4313728342
2.5000000000 1.3402026562
2.6000000000 1.2545071902
2.7000000000 1.1740334076
2.8000000000 1.0985216472
2.9000000000 1.0277112153
3.0000000000 0.9613444598
3.1000000000 0.8991696810
3.2000000000 0.8409431587
3.3000000000 0.7864305067
3.4000000000 0.7354075228
3.5000000000 0.6876606571
3.6000000000 0.6429871987
3.7000000000 0.6011952534
3.8000000000 0.5621035714
3.9000000000 0.5255412667
4.0000000000 0.4913474641
4.1000000000 0.4593708965
4.2000000000 0.4294694732
4.3000000000 0.4015098336
4.4000000000 0.3753668953
4.5000000000 0.3509234066
4.6000000000 0.3280695071
4.7000000000 0.3067023012
4.8000000000 0.2867254476
4.9000000000 0.2680487654
5.0000000000 0.2505878586
5.1000000000 0.2342637596
5.2000000000 0.2190025912
5.3000000000 0.2047352470
5.4000000000 0.1913970898
5.5000000000 0.1789276685
5.6000000000 0.1672704504
5.7000000000 0.1563725707
5.8000000000 0.1461845969
5.9000000000 0.1366603078
6.0000000000 0.1277564865
6.1000000000 0.1194327261
6.2000000000 0.1116512482
6.3000000000 0.1043767323
6.4000000000 0.0975761564
6.5000000000 0.0912186481
6.6000000000 0.0852753451
6.7000000000 0.0797192639
6.8000000000 0.0745251786
6.9000000000 0.0696695058
7.0000000000 0.0651301982
7.1000000000 0.0608866447
7.2000000000 0.0569195765
7.3000000000 0.0532109802
7.4000000000 0.0497440157
7.5000000000 0.0465029400
7.6000000000 0.0434730357
7.7000000000 0.0406405444
7.8000000000 0.0379926036
7.9000000000 0.0355171894
8.0000000000 0.0332030607
8.1000000000 0.0310397092
8.2000000000 0.0290173110
8.3000000000 0.0271266823
8.4000000000 0.0253592378
8.5000000000 0.0237069513
8.6000000000 0.0221623199
8.7000000000 0.0207183291
8.8000000000 0.0193684219
8.9000000000 0.0181064681
9.0000000000 0.0169267371
9.1000000000 0.0158238718
9.2000000000 0.0147928638
9.3000000000 0.0138290314
9.4000000000 0.0129279978
9.5000000000 0.0120856711
9.6000000000 0.0112982264
9.7000000000 0.0105620879
9.8000000000 0.0098739126
9.9000000000 0.0092305756
10.0000000000 0.0086291553

