avg. temp.
0.0000000000 300.0679143191
0.1100000000 300.7306995399
0.2000000000 301.3025178035
0.3000000000 301.9115919255
0.4000000000 302.4940936130
0.5000000000 303.0508037979
0.6000000000 303.5820699257
0.7000000000 304.0879924278
0.8000000000 304.5686539085
0.9000000000 305.0242627451
1.0000000000 305.4552087270
1.1000000000 305.8620633822
1.2000000000 306.2455535259
1.3000000000 306.6065256794
1.4000000000 306.9459105521
1.5000000000 307.2646916565
1.6000000000 307.5638793715
1.7000000000 307.8444904283
1.8000000000 308.1075322247
1.9000000000 308.3539911929
2.0000000000 308.5848244525
2.1000000000 308.8009540635
2.2000000000 309.0032633008
2.3000000000 309.1925944788
2.4000000000 309.3697479480
2.5000000000 309.5354819648
2.6000000000 309.6905132033
2.7000000000 309.8355177270
2.8000000000 309.9711322824
2.9000000000 310.0979558090
3.0000000000 310.2165510844
3.1000000000 310.3274464435
3.2000000000 310.4311375279
3.3000000000 310.5280890310
3.4000000000 310.6187364154
3.5000000000 310.7034875844
3.6000000000 310.7827244968
3.7000000000 310.8568047164
3.8000000000 310.9260628925
3.9000000000 310.9908121673
4.0000000000 311.0513455115
4.1000000000 311.1079369869
4.2000000000 311.1608429385
4.3000000000 311.2103031176
4.4000000000 311.2565417392
4.5000000000 311.2997684750
4.6000000000 311.3401793865
4.7000000000 311.3779578008
4.8000000000 311.4132751309
4.9000000000 311.4462916453
5.0000000000 311.4771571891
5.1000000000 311.5060118585
5.2000000000 311.5329866330
5.3000000000 311.5582039670
5.4000000000 311.5817783431
5.5000000000 311.6038167900
5.6000000000 311.6244193672
5.7000000000 311.6436796179
5.8000000000 311.6616849929
5.9000000000 311.6785172472
6.0000000000 311.6942528105
6.1000000000 311.7089631338
6.2000000000 311.7227150137
6.3000000000 311.7355708954
6.4000000000 311.7475891558
6.5000000000 311.7588243690
6.6000000000 311.7693275532
6.7000000000 311.7791464033
6.8000000000 311.7883255063
6.9000000000 311.7969065447
7.0000000000 311.8049284850
7.1000000000 311.8124277551
7.2000000000 311.8194384094
7.3000000000 311.8259922836
7.4000000000 311.8321191391
7.5000000000 311.8378467984
7.6000000000 311.8432012711
7.7000000000 311.8482068721
7.8000000000 311.8528863322
7.9000000000 311.8572609011
8.0000000000 311.8613504441
8.1000000000 311.8651735321
8.2000000000 311.8687475260
8.3000000000 311.8720886555
8.4000000000 311.8752120930
8.5000000000 311.8781320222
8.6000000000 311.8808617028
8.7000000000 311.8834135305
8.8000000000 311.8857990932
8.9000000000 311.8880292241
9.0000000000 311.8901140503
9.1000000000 311.8920630391
9.2000000000 311.8938850412
9.3000000000 311.8955883303
9.4000000000 311.8971806412
9.5000000000 311.8986692047
9.6000000000 311.9000607805
9.7000000000 311.9013616878
9.8000000000 311.9025778343
9.9000000000 311.9037147424
10.0000000000 311.9047775751

