mid-top particle
0.0000000000 300.0000000000
0.1000000000 334.2967217982
0.2000000000 354.4588999847
0.3000000000 365.3850164645
0.4000000000 372.1378897946
0.5000000000 376.7039072888
0.6000000000 379.9912013799
0.7000000000 382.4687593262
0.8000000000 384.4020484173
0.9000000000 385.9522683945
1.0000000000 387.2228638826
1.1000000000 388.2832399874
1.2000000000 389.1816999701
1.3000000000 389.9529035644
1.4000000000 390.6223688960
1.5000000000 391.2092983645
1.6000000000 391.7284136948
1.7000000000 392.1911836496
1.8000000000 392.6066674294
1.9000000000 392.9821078690
2.0000000000 393.3233575083
2.1000000000 393.6351903920
2.2000000000 393.9215340673
2.3000000000 394.1856447615
2.4000000000 394.4302413926
2.5000000000 394.6576092797
2.6000000000 394.8696812298
2.7000000000 395.0681015193
2.8000000000 395.2542767922
2.9000000000 395.4294168489
3.0000000000 395.5945675519
3.1000000000 395.7506375337
3.2000000000 395.8984199949
3.3000000000 396.0386105888
3.4000000000 396.1718221636
3.5000000000 396.2985969730
3.6000000000 396.4194168299
3.7000000000 396.5347115878
3.8000000000 396.6448662505
3.9000000000 396.7502269573
4.0000000000 396.8511060373
4.1000000000 396.9477862960
4.2000000000 397.0405246610
4.3000000000 397.1295552951
4.4000000000 397.2150922623
4.5000000000 397.2973318204
4.6000000000 397.3764543963
4.7000000000 397.4526262967
4.8000000000 397.5260011909
4.9000000000 397.5967214040
5.0000000000 397.6649190445
5.1000000000 397.7307169939
5.2000000000 397.7942297752
5.3000000000 397.8555643196
5.4000000000 397.9148206434
5.5000000000 397.9720924497
5.6000000000 398.0274676621
5.7000000000 398.0810289020
5.8000000000 398.1328539149
5.9000000000 398.1830159529
6.0000000000 398.2315841193
6.1000000000 398.2786236782
6.2000000000 398.3241963358
6.3000000000 398.3683604944
6.4000000000 398.4111714835
6.5000000000 398.4526817702
6.6000000000 398.4929411512
6.7000000000 398.5319969290
6.8000000000 398.5698940719
6.9000000000 398.6066753629
7.0000000000 398.6423815351
7.1000000000 398.6770513976
7.2000000000 398.7107219507
7.3000000000 398.7434284937
7.4000000000 398.7752047235
7.5000000000 398.8060828273
7.6000000000 398.8360935674
7.7000000000 398.8652663614
7.8000000000 398.8936293560
7.9000000000 398.9212094960
8.0000000000 398.9480325892
8.1000000000 398.9741233664
8.2000000000 398.9995055380
8.3000000000 399.0242018465
8.4000000000 399.0482341167
8.5000000000 399.0716233016
8.6000000000 399.0943895261
8.7000000000 399.1165521284
8.8000000000 399.1381296982
8.9000000000 399.1591401130
9.0000000000 399.1796005726
9.1000000000 399.1995276310
9.2000000000 399.2189372268
9.3000000000 399.2378447123
9.4000000000 399.2562648798
9.5000000000 399.2742119877
9.6000000000 399.2916997848
9.7000000000 399.3087415324
9.8000000000 399.3253500268
9.9000000000 399.3415376191
10.0000000000 399.3570045954

