max. temp.
0.0000000000 349.6645375391
0.1000000000 397.5109221677
0.2000000000 398.7371229007
0.3000000000 399.1539143046
0.4000000000 399.3638597269
0.5000000000 399.4903279600
0.6000000000 399.5748500279
0.7000000000 399.6353261175
0.8000000000 399.6807397843
0.9000000000 399.7160952712
1.0000000000 399.7444013854
1.1000000000 399.7675762847
1.2000000000 399.7869010174
1.3000000000 399.8032641649
1.4000000000 399.8173017683
1.5000000000 399.8294812968
1.6000000000 399.8401541104
1.7000000000 399.8495893922
1.8000000000 399.8579967717
1.9000000000 399.8655418185
2.0000000000 399.8723569123
2.1000000000 399.8785490347
2.2000000000 399.8842054634
2.3000000000 399.8893980051
2.4000000000 399.8941861912
2.5000000000 399.8986197225
2.6000000000 399.9027403620
2.7000000000 399.9065834164
2.8000000000 399.9101789056
2.9000000000 399.9135524941
3.0000000000 399.9167262383
3.1000000000 399.9197191895
3.2000000000 399.9225478844
3.3000000000 399.9252267450
3.4000000000 399.9277684071
3.5000000000 399.9301839915
3.6000000000 399.9324833282
3.7000000000 399.9346751431
3.8000000000 399.9367672139
3.9000000000 399.9387665007
4.0000000000 399.9406792556
4.1000000000 399.9425111161
4.2000000000 399.9442671829
4.3000000000 399.9459520875
4.4000000000 399.9475700484
4.5000000000 399.9491249204
4.6000000000 399.9506202363
4.7000000000 399.9520592427
4.8000000000 399.9534449316
4.9000000000 399.9547800671
5.0000000000 399.9560672087
5.1000000000 399.9573087323
5.2000000000 399.9585068476
5.3000000000 399.9596636143
5.4000000000 399.9607809555
5.5000000000 399.9618606703
5.6000000000 399.9629044442
5.7000000000 399.9639138594
5.8000000000 399.9648904028
5.9000000000 399.9658354737
6.0000000000 399.9667503912
6.1000000000 399.9676363997
6.2000000000 399.9684946750
6.3000000000 399.9693263290
6.4000000000 399.9701324143
6.5000000000 399.9709139286
6.6000000000 399.9716718181
6.7000000000 399.9724069814
6.8000000000 399.9731202719
6.9000000000 399.9738125015
7.0000000000 399.9744844427
7.1000000000 399.9751368315
7.2000000000 399.9757703690
7.3000000000 399.9763857239
7.4000000000 399.9769835346
7.5000000000 399.9775644104
7.6000000000 399.9781289337
7.7000000000 399.9786776611
7.8000000000 399.9792111253
7.9000000000 399.9797298358
8.0000000000 399.9802342807
8.1000000000 399.9807249276
8.2000000000 399.9812022246
8.3000000000 399.9816666017
8.4000000000 399.9821184711
8.5000000000 399.9825582288
8.6000000000 399.9829862549
8.7000000000 399.9834029146
8.8000000000 399.9838085589
8.9000000000 399.9842035254
9.0000000000 399.9845881388
9.1000000000 399.9849627114
9.2000000000 399.9853275442
9.3000000000 399.9856829268
9.4000000000 399.9860291382
9.5000000000 399.9863664475
9.6000000000 399.9866951140
9.7000000000 399.9870153878
9.8000000000 399.9873275101
9.9000000000 399.9876317139
10.0000000000 399.9879282240

