mid-top particle
0.0000000000 0.0000000000
0.1100000000 0.0000116700
0.2000000000 0.0091446731
0.3000000000 0.1948335613
0.4000000000 1.0508564295
0.5000000000 3.0272317699
0.6000000000 6.1788747661
0.7000000000 10.2273310148
0.8000000000 14.7726431652
0.9000000000 19.4454611431
1.0000000000 23.9692174956
1.1000000000 28.1661757039
1.2000000000 31.9399579356
1.3000000000 35.2528862014
1.4000000000 38.1058573859
1.5000000000 40.5229341925
1.6000000000 42.5405013187
1.7000000000 44.2000895329
1.8000000000 45.5438915299
1.9000000000 46.6121452431
2.0000000000 47.4417585304
2.1000000000 48.0657268585
2.2000000000 48.5130352470
2.3000000000 48.8088384110
2.4000000000 48.9747855469
2.5000000000 49.0294059493
2.6000000000 48.9885049745
2.7000000000 48.8655416875
2.8000000000 48.6719734753
2.9000000000 48.4175615618
3.0000000000 48.1106365106
3.1000000000 47.7583256995
3.2000000000 47.3667462126
3.3000000000 46.9411671776
3.4000000000 46.4861456448
3.5000000000 46.0056398789
3.6000000000 45.5031035698
3.7000000000 44.9815640520
3.8000000000 44.4436871970
3.9000000000 43.8918312476
4.0000000000 43.3280915053
4.1000000000 42.7543374695
4.2000000000 42.1722437548
4.3000000000 41.5833158863
4.4000000000 40.9889118785
4.5000000000 40.3902603429
4.6000000000 39.7884757383
4.7000000000 39.1845712642
4.8000000000 38.5794698112
4.9000000000 37.9740133045
5.0000000000 37.3689707180
5.1000000000 36.7650449861
5.2000000000 36.1628789973
5.3000000000 35.5630608244
5.4000000000 34.9661283147
5.5000000000 34.3725731438
5.6000000000 33.7828444168
5.7000000000 33.1973518881
5.8000000000 32.6164688542
5.9000000000 32.0405347705
6.0000000000 31.4698576277
6.1000000000 30.9047161228
6.2000000000 30.3453616502
6.3000000000 29.7920201356
6.4000000000 29.2448937321
6.5000000000 28.7041623925
6.6000000000 28.1699853335
6.7000000000 27.6425023995
6.8000000000 27.1218353395
6.9000000000 26.6080890017
7.0000000000 26.1013524541
7.1000000000 25.6017000379
7.2000000000 25.1091923570
7.3000000000 24.6238772103
7.4000000000 24.1457904684
7.5000000000 23.6749569008
7.6000000000 23.2113909550
7.7000000000 22.7550974906
7.8000000000 22.3060724727
7.9000000000 21.8643036238
8.0000000000 21.4297710404
8.1000000000 21.0024477722
8.2000000000 20.5823003695
8.3000000000 20.1692893983
8.4000000000 19.7633699247
8.5000000000 19.3644919724
8.6000000000 18.9726009518
8.7000000000 18.5876380643
8.8000000000 18.2095406822
8.9000000000 17.8382427055
9.0000000000 17.4736748976
9.1000000000 17.1157651990
9.2000000000 16.7644390230
9.3000000000 16.4196195317
9.4000000000 16.0812278953
9.5000000000 15.7491835343
9.6000000000 15.4234043460
9.7000000000 15.1038069166
9.8000000000 14.7903067190
9.9000000000 14.4828182968
10.0000000000 14.1812554368

