avg. temp.
0.0000000000 301.1640125986
0.1100000000 309.2822302249
0.2000000000 314.1093985313
0.3000000000 318.3258878824
0.4000000000 321.8493348435
0.5000000000 324.9168464902
0.6000000000 327.6552541045
0.7000000000 330.1417060796
0.8000000000 332.4272483282
0.9000000000 334.5477245338
1.0000000000 336.5294435565
1.1000000000 338.3923892026
1.2000000000 340.1521604023
1.3000000000 341.8212057585
1.4000000000 343.4096425649
1.5000000000 344.9258194147
1.6000000000 346.3767143653
1.7000000000 347.7682241398
1.8000000000 349.1053790602
1.9000000000 350.3925060677
2.0000000000 351.6333546201
2.1000000000 352.8311954799
2.2000000000 353.9888993178
2.3000000000 355.1090000173
2.4000000000 356.1937461938
2.5000000000 357.2451435000
2.6000000000 358.2649896324
2.7000000000 359.2549034918
2.8000000000 360.2163496090
2.9000000000 361.1506587082
3.0000000000 362.0590450910
3.1000000000 362.9426213899
3.2000000000 363.8024111314
3.3000000000 364.6393594681
3.4000000000 365.4543423723
3.5000000000 366.2481745339
3.6000000000 367.0216161631
3.7000000000 367.7753788638
3.8000000000 368.5101307182
3.9000000000 369.2265006999
4.0000000000 369.9250825123
4.1000000000 370.6064379368
4.2000000000 371.2710997614
4.3000000000 371.9195743470
4.4000000000 372.5523438845
4.5000000000 373.1698683838
4.6000000000 373.7725874321
4.7000000000 374.3609217533
4.8000000000 374.9352745930
4.9000000000 375.4960329549
5.0000000000 376.0435687061
5.1000000000 376.5782395681
5.2000000000 377.1003900097
5.3000000000 377.6103520519
5.4000000000 378.1084459969
5.5000000000 378.5949810907
5.6000000000 379.0702561259
5.7000000000 379.5345599927
5.8000000000 379.9881721842
5.9000000000 380.4313632598
6.0000000000 380.8643952734
6.1000000000 381.2875221681
6.2000000000 381.7009901423
6.3000000000 382.1050379900
6.4000000000 382.4998974169
6.5000000000 382.8857933364
6.6000000000 383.2629441457
6.7000000000 383.6315619849
6.8000000000 383.9918529803
6.9000000000 384.3440174736
7.0000000000 384.6882502378
7.1000000000 385.0247406810
7.2000000000 385.3536730392
7.3000000000 385.6752265593
7.4000000000 385.9895756727
7.5000000000 386.2968901592
7.6000000000 386.5973353047
7.7000000000 386.8910720497
7.8000000000 387.1782571320
7.9000000000 387.4590432225
8.0000000000 387.7335790547
8.1000000000 388.0020095491
8.2000000000 388.2644759319
8.3000000000 388.5211158487
8.4000000000 388.7720634736
8.5000000000 389.0174496141
8.6000000000 389.2574018114
8.7000000000 389.4920444369
8.8000000000 389.7214987853
8.9000000000 389.9458831634
9.0000000000 390.1653129767
9.1000000000 390.3799008115
9.2000000000 390.5897565153
9.3000000000 390.7949872729
9.4000000000 390.9956976813
9.5000000000 391.1919898208
9.6000000000 391.3839633241
9.7000000000 391.5717154431
9.8000000000 391.7553411131
9.9000000000 391.9349330155
10.0000000000 392.1105816375

