max. temp.
0.0000000000 315.5201679810
0.1100000000 370.4612037024
0.2000000000 381.9636061184
0.3000000000 387.4535032865
0.4000000000 390.3872553928
0.5000000000 392.2104140550
0.6000000000 393.4527260952
0.7000000000 394.3534764342
0.8000000000 395.0364479524
0.9000000000 395.5720806892
1.0000000000 396.0034053804
1.1000000000 396.3581937246
1.2000000000 396.6551742569
1.3000000000 396.9074397075
1.4000000000 397.1244218372
1.5000000000 397.3130898149
1.6000000000 397.4787060597
1.7000000000 397.6253190117
1.8000000000 397.7560937942
1.9000000000 397.8735398321
2.0000000000 397.9796711525
2.1000000000 398.0761216178
2.2000000000 398.1642293116
2.3000000000 398.2450993779
2.4000000000 398.3196515257
2.5000000000 398.3886564328
2.6000000000 398.4527639823
2.7000000000 398.5125254051
2.8000000000 398.5684108121
2.9000000000 398.6208231979
3.0000000000 398.6701097130
3.1000000000 398.7165708012
3.2000000000 398.7604676527
3.3000000000 398.8020283187
3.4000000000 398.8414527539
3.5000000000 398.8789169948
3.6000000000 398.9145766362
3.7000000000 398.9485697379
3.8000000000 398.9810192621
3.9000000000 399.0120351261
4.0000000000 399.0417159363
4.1000000000 399.0701504586
4.2000000000 399.0974188682
4.3000000000 399.1235938168
4.4000000000 399.1487413443
4.5000000000 399.1729216627
4.6000000000 399.1961898296
4.7000000000 399.2185963304
4.8000000000 399.2401875815
4.9000000000 399.2610063677
5.0000000000 399.2810922223
5.1000000000 399.3004817597
5.2000000000 399.3192089654
5.3000000000 399.3373054517
5.4000000000 399.3548006813
5.5000000000 399.3717221664
5.6000000000 399.3880956428
5.7000000000 399.4039452262
5.8000000000 399.4192935499
5.9000000000 399.4341618884
6.0000000000 399.4485702673
6.1000000000 399.4625375623
6.2000000000 399.4760815880
6.3000000000 399.4892191780
6.4000000000 399.5019662566
6.5000000000 399.5143379050
6.6000000000 399.5263484198
6.7000000000 399.5380113676
6.8000000000 399.5493396339
6.9000000000 399.5603454681
7.0000000000 399.5710405247
7.1000000000 399.5814359007
7.2000000000 399.5915421707
7.3000000000 399.6013694186
7.4000000000 399.6109272670
7.5000000000 399.6202249046
7.6000000000 399.6292711111
7.7000000000 399.6380742808
7.8000000000 399.6466424443
7.9000000000 399.6549832883
8.0000000000 399.6631041747
8.1000000000 399.6710121579
8.2000000000 399.6787140012
8.3000000000 399.6862161922
8.4000000000 399.6935249568
8.5000000000 399.7006462727
8.6000000000 399.7075858819
8.7000000000 399.7143493024
8.8000000000 399.7209418396
8.9000000000 399.7273685961
9.0000000000 399.7336344819
9.1000000000 399.7397442235
9.2000000000 399.7457023724
9.3000000000 399.7515133136
9.4000000000 399.7571812730
9.5000000000 399.7627103248
9.6000000000 399.7681043983
9.7000000000 399.7733672847
9.8000000000 399.7785026427
9.9000000000 399.7835140050
10.0000000000 399.7884047833

