min. temp.
0.0000000000 300.0000000000
0.1100000000 300.0000000075
0.2000000000 300.0000368149
0.3000000000 300.0017057340
0.4000000000 300.0153272813
0.5000000000 300.0652853816
0.6000000000 300.1836348810
0.7000000000 300.3994073172
0.8000000000 300.7321369279
0.9000000000 301.1906364300
1.0000000000 301.7747588048
1.1000000000 302.4780752606
1.2000000000 303.2903730734
1.3000000000 304.1995885459
1.4000000000 305.1931460397
1.5000000000 306.2588065918
1.6000000000 307.3851553269
1.7000000000 308.5618413822
1.8000000000 309.7796578595
1.9000000000 311.0305244149
2.0000000000 312.3074151300
2.1000000000 313.6042595474
2.2000000000 314.9158343698
2.3000000000 316.2376562664
2.4000000000 317.5658815765
2.5000000000 318.8972157250
2.6000000000 320.2288333240
2.7000000000 321.5583088540
2.8000000000 322.8835572215
2.9000000000 324.2027832069
3.0000000000 325.5144387208
3.1000000000 326.8171868017
3.2000000000 328.1098713618
3.3000000000 329.3914917900
3.4000000000 330.6611816322
3.5000000000 331.9181906788
3.6000000000 333.1618698892
3.7000000000 334.3916586735
3.8000000000 335.6070741303
3.9000000000 336.8077019086
4.0000000000 337.9931884151
4.1000000000 339.1632341409
4.2000000000 340.3175879178
4.3000000000 341.4560419500
4.4000000000 342.5784274929
4.5000000000 343.6846110743
4.6000000000 344.7744911714
4.7000000000 345.8479952718
4.8000000000 346.9050772612
4.9000000000 347.9457150867
5.0000000000 348.9699086590
5.1000000000 349.9776779564
5.2000000000 350.9690613065
5.3000000000 351.9441138205
5.4000000000 352.9029059613
5.5000000000 353.8455222299
5.6000000000 354.7720599558
5.7000000000 355.6826281811
5.8000000000 356.5773466273
5.9000000000 357.4563447374
6.0000000000 358.3197607863
6.1000000000 359.1677410531
6.2000000000 360.0004390494
6.3000000000 360.8180148014
6.4000000000 361.6206341780
6.5000000000 362.4084682652
6.6000000000 363.1816927808
6.7000000000 363.9404875282
6.8000000000 364.6850358855
6.9000000000 365.4155243294
7.0000000000 366.1321419892
7.1000000000 366.8350802316
7.2000000000 367.5245322728
7.3000000000 368.2006928168
7.4000000000 368.8637577183
7.5000000000 369.5139236689
7.6000000000 370.1513879053
7.7000000000 370.7763479378
7.8000000000 371.3890012985
7.9000000000 371.9895453078
8.0000000000 372.5781768580
8.1000000000 373.1550922130
8.2000000000 373.7204868243
8.3000000000 374.2745551602
8.4000000000 374.8174905498
8.5000000000 375.3494850384
8.6000000000 375.8707292567
8.7000000000 376.3814122999
8.8000000000 376.8817216186
8.9000000000 377.3718429183
9.0000000000 377.8519600703
9.1000000000 378.3222550295
9.2000000000 378.7829077619
9.3000000000 379.2340961791
9.4000000000 379.6759960804
9.5000000000 380.1087811019
9.6000000000 380.5326226713
9.7000000000 380.9476899697
9.8000000000 381.3541498979
9.9000000000 381.7521670491
10.0000000000 382.1419036849

